---config@码表分类=主码-4
---config@码表别名=系统词库
其实	adpu
工作	aawt
东西	aisg
或者	akft
其他	adwb
世界	anlw
甚至	adgc
其中	adkh
功能	alce
基本	adsg
项目	adhh
医院	atbp
获得	aqtj
医生	attg
期待	adtf
苦味	adkf
或许	akyt
英国	amlg
节目	abhh
攻击	atfm
艺术	ansy
工程	aatk
期间	aduj
工资	aauq
共同	awmg
警察	aqpw
欧洲	aqiy
基础	addb
英语	amyg
著名	afqk
基金	adqq
其它	adpx
敬礼	aqpy
英雄	amdc
世界杯	alsg
恐怕	amnr
工具	aahw
范围	ailf
黄金	amqq
苹果	agjs
花样	awsu
区域	aqfa
工业	aaog
区别	aqkl
世纪	anxn
英文	amyy
或是	akjg
东方	aiyy
期货	adwx
其余	adwt
某些	afhx
工作人员	awwk
基地	adfb
医疗	atub
警方	aqyy
贡献	amfm
革命	afwg
工人	aaww
基于	adgf
欺负	adqm
恐怖	amnd
若是	adjg
营销	apqi
巨大	andd
苏州	alyt
功夫	alfw
东北	aiux
营养	apud
苏联	albu
工厂	aadg
劳动	apfc
某个	afwh
花钱	awqg
落后	airg
医学	atip
欧美	aqug
英寸	amfg
董事长	agta
药物	axtr
节奏	abdw
某人	afww
期望	adyn
东莞	aiap
欺骗	adcy
恐惧	amnh
黄色	amqc
其次	aduq
工艺	aaan
警告	aqtf
荷兰	awuf
花园	awlf
欧盟	aqje
欧元	aqfq
艺人	anww
蔬菜	anae
节日	abjj
药品	axkk
荣誉	apiw
东京	aiyi
菩萨	auab
获取	aqbc
共享	awyb
世间	anuj
鞋子	afbb
营口	apkk
工程师	atjg
莫非	ajdj
落实	aipu
共有	awde
恭喜	awfk
欧阳	aqbj
戒指	aarx
若干	adfg
董事会	agwf
蓝色	ajqc
世上	anhh
医药	atax
芯片	anth
共和国	atlg
花费	awxj
世人	anww
莫名其妙	aqav
共产党	auip
邪恶	ahgo
功效	aluq
世博会	afwf
巧克力	adlt
草原	ajdr
东部	aiuk
工会	aawf
基因	adld
草草	ajaj
期限	adbv
葡萄牙	aaah
获悉	aqto
黄河	amis
基层	adnf
牙齿	ahhw
慕容	ajpw
东亚	aigo
攻略	atlt
获奖	aquq
某某	afaf
功力	allt
营业	apog
劳动力	aflt
获利	aqtj
菲律宾	atpr
莫名	ajqk
幕后	ajrg
节能	abce
划分	ajwv
散步	aehi
节约	abxq
草根	ajsv
蒙古	apdg
东风	aimq
巨星	anjt
茶叶	awkf
甘心	afny
葡萄	aqaq
英镑	amqu
蔓延	ajth
昔日	ajjj
东海	aiit
警惕	aqnj
巧合	agwg
菜单	aeuj
节省	abit
莫斯科	aatu
卧室	ahpg
荣幸	apfu
菊花	aqaw
散户	aeyn
基金会	aqwf
巨蟹座	aqyw
期盼	adhw
薪水	auii
花朵	awms
苦难	adcw
工商	aaum
工地	aafb
散文	aeyy
甘肃	afvi
蓝天	ajgd
董事	atgk
恐慌	amna
巨额	anpt
巨头	anud
花儿	awqt
共识	awyk
东南	aifm
东南亚	afgo
某一	afgg
某天	afgd
某事	afgk
落井下石	afgd
攻无不克	afgd
项链	adql
区间	aquj
萝卜	alhh
黄昏	amqa
黄瓜	amrc
营造	aptf
莲花	alaw
苍蝇	awjk
区分	aqwv
功劳	alap
勤奋	akdl
落地	aifb
其间	aduj
苍白	awrr
花心	awny
切换	avrq
世俗	anww
英俊	amwc
巩固	amld
巨人	anww
切实	avpu
获胜	aqet
共计	awyf
其后	adrg
劳动者	afft
著作	afwt
七月	agee
落下	aigh
燕子	aubb
萎缩	atxp
恐龙	amdx
基督教	ahft
苦恼	adny
其一	adgg
菲菲	adad
共鸣	awkq
医师	atjg
敬业	aqog
世家	anpe
巷子	awbb
范畴	aild
黄山	ammm
草地	ajfb
艾滋病	aiug
花生	awtg
荒唐	ayyv
芙蓉	afap
苦苦	adad
劳资	apuq
敬佩	aqwm
切记	avyn
草莓	ajat
茫然	aiqd
苍天	awgd
草案	ajpv
划算	ajth
警车	aqlg
功课	alyj
荣耀	apiq
区区	aqaq
药店	axyh
荣获	apaq
勤劳	akap
募集	ajwy
荆州	agyt
世道	anut
散发	aent
期刊	adfj
匿名	aaqk
蘑菇	ayav
共产主义	auyy
攻打	atrs
殴打	aqrs
世锦赛	aqpf
功率	alyx
医学院	aibp
落入	aity
警官	aqpn
匹配	aqsg
攻势	atrv
营房	apyn
劳保	apwk
落泪	aiih
